ID,CenLon,CenLat,Pixels,MaxRef,MaxFED,MinIR
1,-61.075000000000784,-39.22500000000032,35,39.223732714670135,4.191536684428852,-57.30487670898435
2,-61.72500000000076,-39.275000000000325,3,32.593054699369716,0.9105535039404362,-56.383078002929665
3,-63.9132826708243,-35.83256040530061,534,43.62319877898002,11.543031422471458,-72.79111328124998
4,-61.80269230769304,-36.73051282051328,217,43.78204103537004,11.973030905640783,-70.45587768554685
5,-60.876252408478635,-36.23973988439358,145,42.64210368776155,9.20895538172066,-65.96979370117185
6,-59.964892904953956,-36.49836010709549,97,37.180159933518866,2.618279427342245,-68.55083312988279
7,-59.27787356321928,-36.572126436782085,9,31.367819603625726,0.6867235805694791,-62.95859374999998
8,-65.82533500837569,-34.646273031826354,78,39.647413853697365,4.621057636985424,-60.19318237304685
9,-66.52203703703752,-34.43537037037097,14,32.59601134440888,0.9111736131589362,-58.65685119628904
10,-65.62500000000054,-34.32500000000061,1,31.449454154557102,0.6997540414979228,-55.89145507812498
11,-66.68406562847652,-33.32544493882154,383,45.13679534855389,16.356091628655186,-67.99774780273435
12,-66.73611111111158,-30.925000000000797,1,30.02789853566043,0.5044171611027048,-36.53366699218748
